,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
2325,Jake Matthews,The Celtic Kid,"5' 11""",170 lbs.,"73.0""",Orthodox,19,7,0
2326,Connor Matthews,The Controller,"5' 8""",145 lbs.,"71.0""",Switch,7,2,0
2327,Claudio Mattos,Popeye,--,185 lbs.,--,Orthodox,5,4,0
2328,John Matua,,"6' 2""",400 lbs.,--,Orthodox,1,4,0
2329,Francesco Maturi,,--,--,--,,0,1,0
2330,Vladimir Matyushenko,The Janitor,"6' 0""",205 lbs.,"74.0""",Orthodox,27,8,0
2331,Miranda Maverick,Fear The,"5' 3""",125 lbs.,"65.0""",Southpaw,15,5,0
2332,Nick Maximov,,"6' 0""",185 lbs.,"76.0""",Southpaw,8,2,0
2333,Elaina Maxwell,Beef,"5' 8""",145 lbs.,--,Orthodox,7,4,0
2334,Jeremy May,,"6' 1""",185 lbs.,--,,13,10,0
2335,Jack May,The Outlaw,"6' 8""",255 lbs.,--,Switch,9,3,0
2336,Don'Tale Mayes,Lord Kong,"6' 6""",260 lbs.,"81.0""",Orthodox,11,6,0
2337,Gray Maynard,,"5' 9""",155 lbs.,"70.0""",Orthodox,13,7,1
2338,Brooke Mayo,The Bully,"5' 7""",125 lbs.,--,,0,1,0
2339,Gina Mazany,Danger,"5' 6""",125 lbs.,"68.0""",Southpaw,7,6,0
2340,Sabina Mazo,Colombian Queen,"5' 7""",125 lbs.,"70.0""",Orthodox,9,4,0
2341,Scott McAfee,,"5' 8""",155 lbs.,--,Orthodox,14,7,0
2342,Bobby McAndrews,,--,--,--,Orthodox,1,3,0
2343,Michael McBride,,"6' 1""",155 lbs.,--,Orthodox,8,3,0
2344,Ian McCall,Uncle Creepy,"5' 5""",125 lbs.,"64.0""",Orthodox,13,5,1
2345,Molly McCann,Meatball,"5' 4""",115 lbs.,"62.0""",Orthodox,14,6,0
2346,Charles McCarthy,Chainsaw,"5' 10""",185 lbs.,"71.0""",Orthodox,10,5,0
2347,Sean McCorkle,,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0
2348,Kris McCray,Savage,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0
2349,Tamdan McCrory,The Barncat,"6' 4""",185 lbs.,"76.0""",Switch,14,5,0
2350,Rob McCullough,Razor,"5' 9""",155 lbs.,"69.0""",Orthodox,19,8,0
2351,Justin McCully,The Insane One,"6' 1""",225 lbs.,"73.0""",Orthodox,11,5,2
2352,Robert McDaniel,Bubba,"6' 3""",185 lbs.,"75.0""",Southpaw,28,10,0
2353,Michael McDonald,The Black Sniper,"5' 11""",205 lbs.,--,Orthodox,1,1,0
2354,Scott McDonald,,--,--,--,,1,0,0
2355,Michael McDonald,Mayday,"5' 9""",135 lbs.,"70.0""",Orthodox,17,4,0
2356,Josh McDonald,,--,185 lbs.,--,,9,5,0
2357,Miles McDonald,,"5' 7""",115 lbs.,--,,2,1,0
2358,Justin McElfresh,,"6' 6""",205 lbs.,--,Orthodox,6,4,0
2359,Drew McFedries,The Massacre,"6' 0""",185 lbs.,"72.0""",Southpaw,12,7,0
2360,Liam McGeary,,"6' 6""",205 lbs.,--,,12,2,0
2361,Gan McGee,The Giant,"6' 10""",265 lbs.,--,Orthodox,13,5,0
2362,Court McGee,The Crusher,"5' 11""",170 lbs.,"75.0""",Orthodox,22,13,0
2363,Marcus McGhee,The Maniac,"5' 8""",135 lbs.,"69.0""",Orthodox,9,1,0
2364,Ryan McGillivray,The Kid,"5' 11""",170 lbs.,--,,12,0,1
2365,Ryan McGivern,,"6' 0""",185 lbs.,--,Orthodox,13,7,0
2366,Jack McGlaughlin,,--,--,--,Orthodox,1,4,0
2367,Conor McGregor,The Notorious,"5' 9""",155 lbs.,"74.0""",Southpaw,22,6,0
2368,Greg McIntyre,,"5' 10""",155 lbs.,--,Orthodox,6,4,0
2369,Antonio McKee,Mandingo,"5' 8""",155 lbs.,--,Southpaw,29,6,2
2370,AJ McKee,Mercenary,"5' 10""",145 lbs.,--,,8,0,0
2371,Rhys McKee,Skeletor,"6' 2""",170 lbs.,"78.0""",Orthodox,13,6,1
2372,Cory McKenna,Poppins,"5' 3""",115 lbs.,"58.0""",Orthodox,8,3,0
2373,Tim McKenzie,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,9,0
2374,Cody McKenzie,,"6' 0""",155 lbs.,"72.0""",Switch,16,10,0
2375,Terrance McKinney,T. Wrecks,"5' 10""",155 lbs.,"73.0""",Switch,15,6,0
2376,Brian McLaughlin,,"5' 9""",155 lbs.,--,,6,2,0
2377,Jason McLean,,"5' 5""",145 lbs.,--,,6,7,0
2378,Garreth McLellan,Soldier Boy,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0
2379,Sara McMann,,"5' 6""",135 lbs.,"66.0""",Orthodox,13,6,0
2380,James McSweeney,The Hammer,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0
2381,Charles McTorry,,--,--,--,,3,0,0
2382,Daniel McWilliams,The Animal,"6' 1""",185 lbs.,--,,15,37,0
2383,Tim Means,The Dirty Bird,"6' 2""",170 lbs.,"75.0""",Orthodox,33,16,1
2384,Yancy Medeiros,,"5' 10""",155 lbs.,"75.0""",Orthodox,15,8,0
2385,Anistavio Medeiros,Gasparzinho,"5' 6""",145 lbs.,--,Orthodox,19,10,0
2386,Kaline Medeiros,The Dark Angel,"5' 3""",115 lbs.,--,,8,5,0
2387,MarQuel Mederos,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,1,0
2388,Uros Medic,The Doctor,"6' 1""",170 lbs.,"71.0""",Southpaw,10,2,0
2389,Todd Medina,El Tiburon,"5' 10""",193 lbs.,--,Southpaw,11,9,0
2390,Jason Medina,,"5' 9""",180 lbs.,--,,21,15,1
2391,Jose Medina,Chicho,"6' 0""",205 lbs.,"74.0""",Orthodox,11,3,0
2392,Emil Meek,Valhalla,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1
2393,Sanford Alton Meeks,,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0
2394,Gerald Meerschaert,GM3,"6' 1""",185 lbs.,"77.0""",Southpaw,36,17,0
2395,Frank Megallon,,"5' 10""",185 lbs.,--,Southpaw,2,3,0
2396,Derrick Mehmen,Caveman,"6' 4""",205 lbs.,--,,19,9,0
2397,Miika Mehmet,,--,205 lbs.,--,Orthodox,3,5,0
2398,Jordan Mein,Young Gun,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0
2399,Bryce Mejia,,"6' 1""",170 lbs.,--,,3,1,0
2400,Brian Melancon,,"5' 8""",170 lbs.,--,Orthodox,7,3,0
2401,Brandon Melendez,The Murderer,"5' 11""",155 lbs.,--,Southpaw,25,25,0
